;x
1;6.84779772864363
2;6.84991188184032
3;6.85183440429418
4;6.85356513423684
5;6.85510392599867
6;6.85645065002858
7;6.85760519291152
8;6.85856745738358
9;6.85933736234485
10;6.8599148428699
11;6.86029985021586
12;6.8604923518282
13;6.86049233134411
14;6.86029978859353
15;6.85991473959769
16;6.85933721656539
17;6.85856726788672
18;6.85760495812446
19;6.85645036800296
20;6.85510359439464
21;6.8535647503039
22;6.85183396484868
23;6.84991138323942
24;6.84779716675552
25;6.84549249325081
26;6.84302155901649
27;6.84043153416598
28;6.83777052517229
29;6.83508656731882
30;6.83242762139622
31;6.82984157376782
32;6.8273762397947
33;6.82507937061141
34;6.82299866324484
35;6.82118177406974
36;6.8196763355973
37;6.81852997659586
38;6.81779034554629
39;6.81750513743931
40;6.81772212392634
41;6.81848918684164
42;6.81985435511921
43;6.8218658451353
44;6.82457210451461
45;6.82802185944686
46;6.8322641655693
47;6.83734846248045
48;6.84332463196101
49;6.85023805386125
50;6.85801938237211
51;6.86648387758517
52;6.8754410956143
53;6.884699725555
54;6.8940674784642
55;6.90335102985113
56;6.91235601615974
57;6.92088708574715
58;6.92874800484407
59;6.93574181892103
60;6.94167106977877
61;6.94633806853174
62;6.94954522445986
63;6.95109542946593
64;6.95079249759493
65;6.94844165874712
66;6.94385010535152
67;6.93682759036108
68;6.92718707448875
69;6.91474542012688
70;6.89932412888609
71;6.88075011915656
72;6.85885653954187
73;6.83350717160282
74;6.80511290837854
75;6.77462000139344
76;6.74298423305566
77;6.71114501205314
78;6.68002443838799
79;6.65052765302485
80;6.62354443152245
81;6.59995198471785
82;6.58061893788094
83;6.56641047259024
84;6.55819463281865
85;6.55684981838817
86;6.56327351523087
87;6.57839234313509
88;6.60317353843447
89;6.63863803225409
90;6.68587533562036
91;6.74606050251792
92;6.82047351286061
93;6.91052150194309
94;7.01776436459624
95;7.14394438523893
96;7.29102069472086
97;7.46113818445293
98;7.65505469603768
99;7.87195172870978
100;8.11087573248689
101;8.37075368632808
102;8.65033952412845
103;8.94816128060713
104;9.26246948060667
105;9.59118768229575
106;9.93186647692471
107;10.281642635844
108;10.6372054641089
109;10.9947727476447
110;11.3500789402219
111;11.6983783948518
112;12.0344664654735
113;12.3527211513804
114;12.6471675928936
115;12.9115671222564
116;13.1395317089854
117;13.3246635099777
118;13.4607178583391
119;13.5417864432419
120;13.5624957166981
121;13.5183836990079
122;13.4098069654764
123;13.2418754104485
124;13.0205020819644
125;12.752027886176
126;12.4430276291055
127;12.1001328883138
128;11.7298760030193
129;11.3385578746318
130;10.932140807903
131;10.5161663562871
132;10.0956970992994
133;9.67528048824344
134;9.25893234501733
135;8.85013726833819
136;8.45186306470657
137;8.06658634450611
138;7.69632657163588
139;7.34268609375587
140;7.00689397825254
141;6.68985180928912
142;6.39217994159129
143;6.11426303982102
144;5.85629404630238
145;5.61828892273937
146;5.39955859724365
147;5.19885546731255
148;5.01501950754547
149;4.8469986792075
150;4.69384186140004
151;4.55469250502788
152;4.42878298343404
153;4.31542961805429
154;4.2140283624073
155;4.12405113322978
156;4.04504278364997
157;3.97661872005525
158;3.91846317185976
159;3.87032813185593
160;3.8320329944115
161;3.80346492966252
162;3.78458004431216
163;3.77540539398972
164;3.77604192874132
165;3.786668472585
166;3.80754686075048
167;3.83902838495345
168;3.88156172871202
169;3.9356824647359
170;4.00157228187862
171;4.07902606364799
172;4.16786895527357
173;4.26796290365692
174;4.37919390264051
175;4.50145952742745
176;4.63465651352544
177;4.77866817375016
178;4.93335148387047
179;5.09852370603348
180;5.27394846153384
181;5.45932121282547
182;5.65425417052519
183;5.85826070558951
184;6.07073942024595
185;6.29095811321862
186;6.5180379640003
187;6.75093835512108
188;6.988442847287
189;7.22914691567162
190;7.4714481413839
191;7.71353962424226
192;7.95340743485134
193;8.18886318812777
194;8.41824019161128
195;8.6405014035239
196;8.85462256226558
197;9.05956898937099
198;9.25430258775443
199;9.43778960702419
200;9.6090090915542
201;9.76696190383279
202;9.91068019596729
203;10.039237186417
204;10.1517570871756
205;10.2474250187075
206;10.3254967458336
