"","V1"
"sp0",0.10093505
"sp1",0.05365208
"sp2",0.25531949
"sp3",0.04568359
"sp4",0.0202913
"sp5",0.06667332
"sp6",0.11573634
"sp7",0.09425729
"sp8",0.29980751
