"","V1"
"s0_frac",0.51282051
"s1_frac",0.26470588
"s2_frac",0.33583053
"s3_frac",0.24509804
"s4_frac",0.49261084
"s7_s2_frac",0.63157895
"s7_ratio",0.5
"s8_frac",0.23076923
