"","V1"
"sp0",0.57220512
"sp1",0.4871927
"sp2",0.3856365
"sp3",0.32453446
"sp4",0.70836812
"sp5",0.26338761
"sp6",0.38070615
"sp7",0.66296923
"sp8",0.0112609
