;x
1;14.8190248511473
2;15.1391087397667
3;15.4507884214663
4;15.7535988237964
5;16.0471111554637
6;16.3309341196361
7;16.6047148838795
8;16.8681398087578
9;17.1209349391232
10;17.3628662639817
11;17.5937397525276
12;17.8134011754845
13;18.0217357222707
14;18.218667425706
15;18.4041584069999
16;18.57820795461
17;18.740851451221
18;18.8921591635973
19;19.0322349103858
20;19.161214623116
21;19.2792648156656
22;19.3865809773356
23;19.4833859044304
24;19.5699279848712
25;19.6464861311735
26;19.7135156154777
27;19.7716485247805
28;19.82154492193
29;19.8638831537637
30;19.899357016646
31;19.9286731409569
32;19.9525486086175
33;19.9717088152246
34;19.9868855860564
35;19.9988155531443
36;20.0082387987772
37;20.0158977692497
38;20.0225364613664
39;20.0288998832062
40;20.0357337899104
41;20.043784694805
42;20.0538001559938
43;20.0665293386687
44;20.0827238537666
45;20.1031388742752
46;20.1285345314344
47;20.159677594312
48;20.1973434377483
49;20.2422838859783
50;20.2944701344396
51;20.3530837085289
52;20.41726725284
53;20.4861561823437
54;20.5588763483475
55;20.6345420653747
56;20.7122545046675
57;20.7911004622371
58;20.8701515111852
59;20.9484635493767
60;21.025076754457
61;21.0990159586439
62;21.1692914556815
63;21.2349002517866
64;21.2948277713498
65;21.3480500265295
66;21.393536257719
67;21.4302520491305
68;21.4571629204566
69;21.473238391715
70;21.4774565139915
71;21.468808853875
72;21.4463059139682
73;21.409008661127
74;21.3565983261771
75;21.2893733263305
76;21.2076800038383
77;21.1118846084975
78;21.0023710247785
79;20.8795385207059
80;20.7437995354676
81;20.5955775226735
82;20.4353048661344
83;20.2634208850043
84;20.0803699450904
85;19.8865996931157
86;19.6825594306641
87;19.4686986444489
88;19.2454657093705
89;19.0133067805203
90;18.7726648897778
91;18.5239792618607
92;18.2676848635121
93;18.0042121978432
94;17.7339873535485
95;17.4574323156423
96;17.1749655403759
97;16.8870313477598
98;16.5947158766347
99;16.2996907159919
100;16.0035600299907
101;15.7078322269641
102;15.4139222628528
103;15.1231553575325
104;14.8367719460746
105;14.555933690848
106;14.2817303869642
107;14.015187602739
108;13.7572749085978
109;13.508914562322
110;13.2709905359722
111;13.0443577905473
112;12.8298517287868
113;12.6282977847847
114;12.44052114144
115;12.2673566032323
116;12.1096586922044
117;11.9683120789716
118;11.8442425075258
119;11.7384284219629
120;11.6519135545054
121;11.5857575093281
122;11.5396658308692
123;11.5120218676342
124;11.5012655164675
125;11.5059256565776
126;11.5245915145328
127;11.5558863245797
128;11.5984431343073
129;11.6508827117698
130;11.7117935995447
131;11.7797144354329
132;11.8531187198933
133;11.9304022577822
134;12.009873537096
135;12.0897473302722
136;12.1681418137967
137;12.2430794985156
138;12.3124922449145
139;12.3742306031692
140;12.4260776654238
141;12.4657675460626
142;12.4910085137215
143;12.499510686092
144;12.4890180658604
145;12.4574235136233
146;12.4045362607051
147;12.3320670238789
148;12.2418607227178
149;12.1357949456524
150;12.0157593763187
151;11.8836371766197
152;11.7412884509162
153;11.5905358749377
154;11.4331525330907
155;11.2708519699645
156;11.1052804271001
157;10.9380112054917
158;10.7705410686179
159;10.6042885806227
160;10.4405942599154
161;10.2807224200365
162;10.1258645670763
163;9.97714422598989
164;9.8356230765202
165;9.70230829272129
166;9.57816099791011
167;9.46410576891922
168;9.36104114953709
