;x
1;8.40279776549186
2;8.48827897125371
3;8.56608373124034
4;8.6362462508528
5;8.69883000548337
6;8.75392635790404
7;8.80165305725305
8;8.84215263937824
9;8.87559074807598
10;8.90215439632963
11;8.92205018602227
12;8.93550250380126
13;8.94275170982989
14;8.94405233510069
15;8.9396713018286
16;8.92988618021508
17;8.91498349359859
18;8.89525708270396
19;8.87100653839306
20;8.84253571101925
21;8.81015130321588
22;8.77416155171678
23;8.73487500262905
24;8.69259938346366
25;8.64764239020574
26;8.60035044280818
27;8.55110666170843
28;8.50028955424898
29;8.44827044173155
30;8.39541287439109
31;8.34207220408351
32;8.2885953093462
33;8.23532046707987
34;8.18257736486654
35;8.13068724786961
36;8.07996319435176
37;8.03071051408138
38;7.98322726427234
39;7.93780487820468
40;7.89472890229783
41;7.85427983814766
42;7.81673408688762
43;7.78236499419064
44;7.75144399528933
45;7.72424186055999
46;7.70103004349161
47;7.68208213425285
48;7.66767542358395
49;7.65808454233744
50;7.6534064934545
51;7.65356247227477
52;7.65847487761065
53;7.66807487559767
54;7.68230194697988
55;7.70110346599437
56;7.72443430812231
57;7.75225648417846
58;7.78453879839567
59;7.82125652832863
60;7.86239112455148
61;7.90792992826123
62;7.95786590502142
63;8.01219739299239
64;8.07092786409434
65;8.1340656966402
66;8.20162395805677
67;8.27362019638583
68;8.35007623932312
69;8.43101799961242
70;8.5164752856653
71;8.60648161632509
72;8.70107403873689
73;8.80028121416875
74;8.9038613531297
75;9.01128541673662
76;9.12198612395303
77;9.23536706067124
78;9.35080055944085
79;9.46762598768219
80;9.58514848419581
81;9.70263818681022
82;9.81932999610778
83;9.93442392120244
84;10.0470860533793
85;10.1564502119058
86;10.2616203033557
87;10.361673431226
88;10.4556637863663
89;10.5426273406995
90;10.621587356836
91;10.691560714468
92;10.751565040903
93;10.80062661786
94;10.8377890198477
95;10.8621224213132
96;10.8727334905654
97;10.8688117809384
98;10.8504310572945
99;10.8185469514272
100;10.7741930784237
101;10.7184333149098
102;10.6523508529957
103;10.5770381067565
104;10.4935875478528
105;10.403083522942
106;10.3065950835857
107;10.2051698396944
108;10.0998288303753
109;9.99156239145635
110;9.88132698697683
111;9.77004296252064
112;9.65859317131912
113;9.54782241943655
114;9.4385376738992
115;9.33150897715865
116;9.22747101259681
117;9.12712526869587
118;9.0311427538304
119;8.94016721922672
120;8.8548188543367
121;8.77567886341979
122;8.70286800808492
123;8.63606832120345
124;8.57496068632618
125;8.51924287872107
126;8.46862799903207
127;8.42284302731834
128;8.3816274869255
129;8.34473220878299
130;8.31191818775123
131;8.28295552357062
132;8.25762243980479
133;8.2357043749303
134;8.21699314041413
135;8.20128614124623
136;8.18838565496259
137;8.17809816571126
138;8.17023375038418
139;8.16460551426524
140;8.16102907403373
141;8.15932208631516
142;8.15930382029045
143;8.1607947731624
144;8.16361632753613
145;8.1675975617432
146;8.17273156599253
147;8.1791758415039
148;8.18709624593422
149;8.19666017954527
150;8.20803691600765
151;8.22139797068935
152;8.23691750777401
153;8.25477278779921
154;8.2751446574773
155;8.29821808396312
156;8.32418273606443
157;8.35323361525804
158;8.38557173977622
159;8.42140488547024
160;8.46094838764294
161;8.50442600857391
162;8.55207087604414
163;8.60412649880605
164;8.66084786564512
165;8.7225026354462
166;8.78937242651797
167;8.86175421434826
168;8.93996184796934
169;9.02430673894641
170;9.11463290921117
171;9.21029296571461
172;9.31059535101967
173;9.41482100835303
174;9.52221982768604
175;9.63200766837457
176;9.74336399955394
177;9.85543020514631
178;9.96730860448677
179;10.0780622420839
180;10.186715500773
181;10.2922555913718
182;10.3936349688036
183;10.4897747194326
184;10.5795689570124
185;10.6618902551732
186;10.7355961328057
187;10.7995365951119
188;10.8525627176044
189;10.8935362430899
190;10.9213401428282
191;10.9348900727833
192;10.9331466343196
193;10.9151841673397
194;10.8814280031977
195;10.8336378307904
196;10.7736525041315
197;10.7033124664565
198;10.6244411775812
199;10.538829708336
200;10.4482245162323
201;10.3543183468592
202;10.25874414967
203;10.1630718548695
204;10.068807829793
205;9.97739681793409
206;9.89022616095055
207;9.80863211273566
208;9.73390807414535
209;9.66731460637114
210;9.61009111945042
211;9.563469179333
212;9.52868743178046
213;9.50700820393929
214;9.49973591484919
215;9.50823750506227
216;9.53396518421742
217;9.57841862146927
218;9.64177015830328
219;9.7228320833277
220;9.82041067973591
221;9.93334445136597
222;10.0604813439659
223;10.2006576915058
224;10.3526787294326
225;10.515300600646
226;10.6872138566041
227;10.8670285263281
228;11.0532608905854
229;11.2443221570434
230;11.4385092840677
231;11.6339982449821
232;11.8288400595007
233;12.0209599428152
234;12.2081599333427
235;12.3881253551163
236;12.5584354478975
237;12.7165784551201
238;12.8599713948448
239;12.9859846506579
240;13.0919714072587
241;13.1753745269153
242;13.2353735400984
243;13.2729474818571
244;13.2892803612078
245;13.2856678742316
246;13.263496745211
247;13.2242247922723
248;13.1693620093484
249;13.1004529041059
250;13.0190602803376
251;12.9267506045025
252;12.8250810506947
253;12.7155882771295
254;12.5997789508377
255;12.4791220060023
256;12.3550425954107
257;12.2289176738338
258;12.1020731366287
259;11.9757824262536
260;11.8512665133648
261;11.7296951573677
262;11.6121893533292
263;11.4998248776482
264;11.3936368534566
265;11.2945938190338
266;11.202919126273
267;11.1181246615991
268;11.0397140981985
269;10.9672121547206
270;10.9001623515395
271;10.8381249721634
272;10.7806752147374
273;10.7274015205189
274;10.6779040679251
275;10.6317934222828
276;10.5886893327606
277;10.5482196691607
278;10.5100194922909
279;10.4737302525505
280;10.438999112145
281;10.405478387005
282;10.3728251050378
283;10.3407006777745
284;10.3087706828117
285;10.2767047546819
286;10.2441765819174
287;10.2108640081166
288;10.1764492347643
289;10.1406297322563
290;10.1033509764068
291;10.0648022241487
292;10.025181069975
293;9.98468258139639
294;9.94349911837151
295;9.90182018967447
296;9.85983234539006
297;9.81771910466226
298;9.77566091777371
299;9.73383516160475
300;9.69241616750936
301;9.6515752806501
302;9.61148094985611
303;9.57229884710449
304;9.53419201577765
305;9.49732104691481
306;9.46184428275541
307;9.42791804696535
308;9.39569690104202
309;9.36533392651282
310;9.33698103267173
311;9.31078928974162
312;9.28690928750452
313;9.26547788440996
314;9.24631939775944
315;9.22894883437706
316;9.21287243104904
317;9.19760050477216
318;9.18264689861998
319;9.16752868610288
320;9.15176613078564
321;9.13488289817473
322;9.11640651676086
323;9.09586908461029
324;9.07280821704594
325;9.04676822975751
326;9.01730155014033
327;8.98397034780077
328;8.94634837300489
329;8.90402298941068
330;8.85659738474765
331;8.80369294022903
332;8.74495173644997
333;8.68003917039275
334;8.60864665499146
335;8.53049436957113
336;8.44533402644842
337;8.35299112426125
338;8.25422413243703
339;8.15066942944496
340;8.04394100285194
341;7.93558300420957
342;7.82706527143731
343;7.71978166128945
344;7.6150509634004
345;7.51412016524357
346;7.41816984739589
347;7.32832150921365
348;7.24564665497552
349;7.17117750855576
350;7.10591926988289
351;7.05086387832378
352;7.00700530665168
353;6.97535647484309
354;6.95696794660031
355;6.95294865484849
356;6.96448899789412
357;6.99288675872584
358;7.03957643044092
359;7.10616268667753
360;7.19445892459542
361;7.30647263213355
362;7.44312071734941
363;7.60413586371762
364;7.78930077760065
365;7.99847475360049
366;8.23156245039196
367;8.48848270474653
368;8.7691368432414
369;9.0733760733723
370;9.40096765856411
371;9.75155971000133
372;10.1246445663937
373;10.5195208838441
374;10.9352547238527
375;11.3706401088116
376;11.8241597102422
377;12.2939465428226
378;12.7777477522775
379;13.2728918005183
380;13.7762605577278
381;14.2842679966211
382;14.7928473348298
383;15.2974485711356
384;15.7930483925945
385;16.274200838208
386;16.735680007196
387;17.1726188856901
388;17.5800202734414
389;17.9527952787828
390;18.2858371604929
391;18.5741041027721
392;18.8127097917993
393;18.9970202454919
394;19.1227549299026
395;19.1860897952209
396;19.1837595029843
397;19.1131558166889
398;18.9724189136914
399;18.7605182692566
400;18.4773197834267
401;18.1236359834946
402;17.7012564489283
403;17.2129560740597
404;16.6624794008071
405;16.0545000040587
406;15.3945547717188
407;14.6889538564698
408;13.9446680459406
