;x
1;17.1606929841389
2;17.134681507487
3;17.0820089918673
4;17.0039941869455
5;16.9020521864036
6;16.7776764287925
7;16.6324211441403
8;16.4678844565134
9;16.2856923224124
10;16.0874834541646
11;15.8748953471015
12;15.6495514998998
13;15.4130498895725
14;15.1669527366445
15;14.9127775723676
16;14.6519895986567
17;14.3859953129094
18;14.116137354056
19;13.8436905130803
20;13.5698588407692
21;13.2957737774802
22;13.0224932240885
23;12.7510014698087
24;12.4822098910601
25;12.2169663909479
26;11.9562299560141
27;11.7010538201359
28;11.4524043623633
29;11.2111584700967
30;10.9781098365081
31;10.7539758312895
32;10.5394048303373
33;10.33498390721
34;10.141246806908
35;9.95868214045278
36;9.78774175673947
37;9.62884926610041
38;9.4824087079432
39;9.3488133727847
40;9.22845480712491
41;9.12173204811586
42;9.02906115417052
43;8.95088511790488
44;8.88768426958208
45;8.83998730310056
46;8.8083830832334
47;8.79353342311354
48;8.79618705587755
49;8.81716599727034
50;8.85673969823685
51;8.91462125856132
52;8.99059599334308
53;9.0845423842742
54;9.19642500413541
55;9.32628825245096
56;9.47425075993216
57;9.64050033443941
58;9.82528933352614
59;10.0289303586369
60;10.2517921740932
61;10.4942957604381
62;10.7569104168032
63;11.0401498309592
64;11.3445680388372
65;11.6707551977655
66;12.019333099649
67;12.3909503520149
68;12.78627715643
69;13.2059996154482
70;13.6508135011531
71;14.1214174206916
72;14.618505317155
73;15.142707502229
74;15.6934153628569
75;16.2685479690069
76;16.8655326041376
77;17.4813043269348
78;18.1122610791938
79;18.754225271677
80;19.4024140512601
81;20.0514206687014
82;20.6952095166447
83;21.3271274684197
84;21.9399340950841
85;22.5258531464853
86;23.0766473295508
87;23.5837178856556
88;24.0382297477609
89;24.4312621458047
90;24.7539834365078
91;24.9978476869764
92;25.154809182136
93;25.2175496130852
94;25.1797113123167
95;25.0361286221081
96;24.7830484142564
97;24.4186458807524
98;23.949977511529
99;23.3922453931627
100;22.7611491420208
101;22.0721243295945
102;21.3399777906625
103;20.5786024062349
104;19.8007699267922
105;19.0179968296832
106;18.2404756745297
107;17.4770628695196
108;16.7353130703023
109;16.0215504502889
110;15.3409676433722
111;14.6977441090367
112;14.0951768633114
113;13.5358178381074
114;13.0216134838304
115;12.5540435505267
116;12.1342572316454
117;11.7632060153859
118;11.4417736655685
119;11.1709047689426
120;10.9517342770479
121;10.7855754304469
122;10.6708906479688
123;10.6035362793944
124;10.5799445783343
125;10.5971374702061
126;10.652613096311
127;10.7442486317323
128;10.8702155735633
129;11.0289044903144
130;11.2188568580892
131;11.4387021274664
132;11.6870986000653
133;11.9626770709042
134;12.2639865313145
135;12.589441541995
136;12.9372711873524
137;13.305469817541
138;13.6917500771421
139;14.0934990093877
140;14.5077383090467
141;14.9310900688793
142;15.3597496137945
143;15.7894672299978
144;16.21554075687
145;16.6329202282145
146;17.0384742697071
147;17.4312922238005
148;17.8106302859467
149;18.1758177473747
150;18.5262592460708
151;18.8614363888594
152;19.1809087572088
153;19.4843143157673
154;19.7713692483949
155;20.0418672515598
156;20.2956783193751
157;20.5327470582504
158;20.7530905721107
159;20.9567959614136
160;21.1440174807779
161;21.3149734009681
162;21.4699426212834
163;21.6092610781357
164;21.7333179948025
165;21.8425520160833
166;21.9374472699057
167;22.0185293959045
168;22.0863615786675
169;22.1415045071162
170;22.1837161393457
171;22.211942528925
172;22.2251137557081
173;22.222186764739
174;22.2021525788352
175;22.1640438575177
176;22.1069427423808
177;22.0299889201134
178;21.9323878256209
179;21.8134188992455
180;21.6724438041402
181;21.5089145026221
182;21.3223810840402
183;21.1124992315654
184;20.8790372115515
185;20.6218822669652
186;20.3410462960125
187;20.0366706987062
188;19.7090302778533
189;19.3585360869343
190;18.9857371256631
191;18.5913207946966
192;18.1761120339877
193;17.7411696153031
194;17.2898823020829
195;16.8276648444778
196;16.3596348290882
197;15.890486675035
198;15.4244802352639
199;14.9654413552974
200;14.5167726363227
201;14.0814726774952
202;13.6621621640135
203;13.2611153075754
204;12.8802953203774
205;12.5213928008586
206;12.1858661190979
207;11.8749831046339
208;11.5898635542875
209;11.3315222893848
210;11.1009126997783
211;10.8989709174886
212;10.7266609688307
213;10.5850214657011
214;10.475214621534
215;10.3985786247773
216;10.3566846848444
217;10.3513020055642
218;10.382296605713
219;10.4476336149498
220;10.5454756789283
221;10.6742122301382
222;10.8323973741049
223;11.0186930966728
224;11.2318164399797
225;11.4704896239171
226;11.7333923801123
227;12.019116029938
228;12.3261190865633
229;12.6526844005224
230;12.996878102956
231;13.3565108323093
232;13.7291019580786
233;14.1118477358844
234;14.5015945358574
235;14.8948184726839
236;15.2876129198634
237;15.6756854998562
238;16.0543661911917
239;16.4186281676147
240;16.7631228672376
241;17.0823458726379
242;17.3732933998728
243;17.6357431874119
244;17.8698179081355
245;18.0758593403137
246;18.2544137266348
247;18.4062155785697
248;18.5321703294062
249;18.6333362254874
250;18.7109058239558
251;18.7661874380847
252;18.8005868394818
253;18.8155894914985
254;18.8127435513633
255;18.7936438410891
256;18.7599169501448
257;18.7132075971486
258;18.6551663441918
259;18.5874387264547
260;18.5116558319859
261;18.4294263422099
262;18.3423300231069
263;18.2519126401744
264;18.1596822572356
265;18.0670617196073
266;17.9744004747381
267;17.8810008997127
268;17.7861230515256
269;17.6890305547025
270;17.5889915523772
271;17.4852801330591
272;17.3771782641488
273;17.2639782623746
274;17.1449858286727
275;17.0195236701947
276;16.8869357246619
277;16.7465919917585
278;16.5978939622418
279;16.4402806176253
280;16.2732349514489
281;16.0962909373082
282;15.9090408392607
283;15.7111427276286
284;15.5023280286879
285;15.2824089018886
286;15.0512852052431
287;14.8089507809917
288;14.5554987726782
289;14.2911615564025
290;14.017084015886
291;13.735242103
292;13.4476101966891
293;13.1561138526971
294;12.8626198703623
295;12.5689271469466
296;12.276758370133
297;11.9877526336443
298;11.7034590910046
299;11.4253317846391
300;11.1547257988359
301;10.8928948836468
302;10.6409906819973
303;10.4000636649459
304;10.171065842415
305;9.95485527220625
306;9.75220234286335
307;9.563797760434
308;9.39026212966298
309;9.23215699028207
310;9.08999715152869
311;8.96426416439757
312;8.85542078184409
313;8.76389600695638
314;8.68944205486374
315;8.63117315634531
316;8.5882378195112
317;8.55983970337608
318;8.54522889947376
319;8.54369403407212
320;8.55455504223117
321;8.57715649180554
322;8.61086135975021
323;8.65504518485909
324;8.70909054049945
325;8.77238178818063
326;8.84430008811323
327;8.92421865648397
328;9.01149827119472
329;9.10548303847772
330;9.20549644226212
331;9.31083770655264
332;9.42077850847392
333;9.53456008607807
334;9.65139079050671
335;9.77044413660638
336;9.8908574095406
337;10.0117384921069
338;10.1323355426376
339;10.2520480459827
340;10.3702648527712
341;10.4863577693472
342;10.5996829272457
343;10.709582435335
344;10.815386327973
345;10.9164148193141
346;11.0119808703469
347;11.1013930713218
