parameter,hierarchy,x,scale
predation.accessibility.euphausidos.prey.sp0,gs,0.6,logit
predation.accessibility.euphausidos.prey.sp1,gs,0.5,logit
predation.accessibility.euphausidos.prey.sp2,gs,0.6,logit
predation.accessibility.euphausidos.prey.sp3,gs,0.6,logit
predation.accessibility.euphausidos.prey.sp4,gs,0.6,logit
predation.accessibility.euphausidos.prey.sp5,gs,0.9,logit
predation.accessibility.euphausidos.prey.sp6,gs,0.55,logit
predation.accessibility.euphausidos.prey.sp7,gs,0.95,logit
predation.predPrey.sizeRatio.theta.sp8.stage1,gs,0.00021221,logit
predation.predPrey.sizeRatio.alpha.sp8.stage1,gs,0.04217535,logit
predation.predPrey.sizeRatio.theta.sp8.stage2,gs,0.00031831,logit
predation.predPrey.sizeRatio.alpha.sp8.stage2,gs,0.06315283,logit
predation.predPrey.stage.threshold.sp8,gs,0.23076923,logit
mortality.starvation.rate.max.sp8,gs,0.5,log
species.vonbertalanffy.threshold.age.sp8,gs,0.1,logit
species.egg.size.sp8,er,0.1,log
predation.efficiency.critical.sp8,er,0.57,logit
predation.ingestion.rate.max.sp8,er,3.5,log
mortality.natural.rate.sp8,mc,0.287938393513573,log
mortality.natural.larva.rate.Lx.sp8,mc,1.5779101,log
species.sexratio.sp8,hqd,0.5,logit
species.l0.sp8,hqd,0.29980751,logit
species.K.sp8,hqd,1.8,log
species.lInf.sp8,hqd,2.6,log
species.maturity.size.sp8,hqd,0.0112609,logit
species.length2weight.condition.factor.sp8,hqd,0.00925,log
